name	gender	season	rank	competition	awards_nominated	awards_won	career	monthly_listener
Veri Affandi	M	1	1	AFI	0	0	No	0
Petrus Kia Suban	M	1	2	AFI	0	0	No	0
Mawar Dhimas Febra	F	1	3	AFI	0	0	No	0
Ve Nazarina	F	1	4	AFI	0	0	No	0
Rini Astuti	F	1	5	AFI	0	0	No	0
Dicky Haryadi	M	1	6	AFI	0	0	FTV	0
Romi Kartiko	M	1	7	AFI	0	0	Solo	0
Melissa Wuwungan	F	1	8	AFI	0	0	No	0
Ismail Rojali	M	1	9	AFI	0	0	No	0
Yenny Rizkyanti	F	1	10	AFI	0	0	No	0
Herawati	F	1	11	AFI	0	0	No	0
Dewi Lastmi	M	1	12	AFI	0	0	No	0
Theodora Meilani	F	2	1	AFI	0	0	"Solo, FTV"	1355
Moch. Haykal	M	2	2	AFI	0	0	No	0
Mickey Octapatika	M	2	3	AFI	0	0	No	0
Nia Kartika Putri	F	2	4	AFI	0	0	No	0
Cindy Sibarani	F	2	5	AFI	0	0	"Solo, FTV"	13
Setya Adi Dharma	M	2	6	AFI	0	0	No	0
Aditya Putra Widjaya	M	2	7	AFI	0	0	Band Member	0
Pasha Dina Widjaya	F	2	8	AFI	0	0	No	0
Febriane Nur Permata	F	2	9	AFI	0	0	No	0
Ratna Yulia Nining	F	2	10	AFI	0	0	No	0
Amalia Soraya	F	2	11	AFI	0	0	FTV	0
Jovita Indah Puspitasari	F	2	12	AFI	0	0	No	0
Putu Sutha Natawijaya	F	3	1	AFI	0	0	No	0
Alvin Kurniawan	M	3	2	AFI	0	0	No	0
Leo Mokodompit	M	3	3	AFI	0	0	Solo	0
Eky Renata	F	3	4	AFI	0	0	"Solo, FTV"	0
Dessy Febianti	F	3	5	AFI	0	0	No	0
Randy Larry Heratta	M	3	6	AFI	0	0	No	0
Adinda Intan Permatasari	F	3	7	AFI	0	0	No	0
Lestari Utami	F	3	8	AFI	0	0	No	0
Yuke Elvandari	F	3	9	AFI	0	0	"FTV, Vocal Group"	0
Jelita Novalintina	F	3	10	AFI	0	0	No	0
Shelly Puspita	F	3	11	AFI	0	0	No	0
Ade Alfonso Pattihahuwan 	M	4	1	AFI	0	0	No	1
Indri Tribuana 	F	4	2	AFI	0	0	Solo	0
Jissindo Beaugeste	M	4	3	AFI	0	0	No	0
Prastiwi Dwiarti	F	4	4	AFI	0	0	"Solo, Vocal Group"	1
Luri Dini Ayu Safitri	F	4	5	AFI	0	0	Solo	0
Purnawan Anjar	M	4	6	AFI	0	0	No	0
Rizwar Rizali	M	4	7	AFI	0	0	FTV	0
Kartika Yudia Ramlan	F	4	8	AFI	0	0	"Solo, Vocal Group"	0
Tika Ramlan	F	4	9	AFI	0	0	No	438
Fibri Hening	F	4	10	AFI	0	0	No	0
Yongki Dri Atmoko	M	4	11	AFI	0	0	No	0
I Dewa Ayu Anggie 	M	4	12	AFI	0	0	No	0
Widi Nugroho	M	5	1	AFI	0	0	"Solo, Band Member"	45976
Mega Dirilla	F	5	2	AFI	0	0	Solo	5
Andi Nugroho 	M	5	3	AFI	0	0	No	0
Arif Taufan	M	5	4	AFI	0	0	No	0
Arin Wolayan	F	5	5	AFI	0	0	Singer	14403
Hendrizal	M	5	6	AFI	0	0	No	0
Rita Tomasoa	F	5	7	AFI	0	0	No	0
Maolyza Oktavianus	F	5	8	AFI	0	0	Band Member	0
Luh Ardianthi	F	5	9	AFI	0	0	No	0
Umuru Takaeda	M	5	10	AFI	0	0	Band Member	0
Herry Ansyar	M	5	11	AFI	0	0	No	0
Vindra Artha Kusuma	F	5	12	AFI	0	0	No	0
Joy Tobing	F	6	1	Indonesian Idol	0	0	Solo	22048
Delon Thamrin	M	6	2	Indonesian Idol	1	0	"Solo, FTV, Movie"	26266
Nania Yusuf	F	6	3	Indonesian Idol	0	0	Solo	1477
Helena Andrian	F	6	4	Indonesian Idol	0	0	Solo	0
Michael Jakarimilena	M	6	5	Indonesian Idol	0	0	"Solo, Movie"	0
Lucky Octavian	M	6	6	Indonesian Idol	0	0	Solo	727
Bona Hutahaen	M	6	7	Indonesian Idol	0	0	No	0
Karen Pooroe	F	6	8	Indonesian Idol	0	0	Solo	0
Winda Viska	F	6	9	Indonesian Idol	0	0	"Solo, TV Soap Opera"	1466
Agatha Suci	F	6	10	Indonesian Idol	0	0	Solo	39237
Andika Pratama	M	6	11	Indonesian Idol	0	0	No	0
Mike Mohede	M	7	1	Indonesian Idol	5	0	"Solo, Movie"	133566
Judika Sihotang	M	7	2	Indonesian Idol	24	9	"Solo, Movie"	362270
Firman Siagian	M	7	3	Indonesian Idol	0	0	Solo	821
Monita Tahalea	F	7	4	Indonesian Idol	0	0	Solo	322678
Harry Mantong	M	7	5	Indonesian Idol	0	0	Solo	0
Maya Damayanti	F	7	6	Indonesian Idol	0	0	Solo	360
Glenn Waas	M	7	7	Indonesian Idol	0	0	No	160
Yudistira Manupassa	M	7	8	Indonesian Idol	0	0	No	0
Vira Puspitasari	F	7	9	Indonesian Idol	0	0	No	0
Wisnu Prabowo 	M	7	10	Indonesian Idol	0	0	Solo	47
Ronald Silitonga	M	7	11	Indonesian Idol	0	0	Solo	9
Danar Karolus	M	7	12	Indonesian Idol	0	0	No	0
Ihsan Tarore	M	8	1	Indonesian Idol	0	0	"Solo, Movie, FTV"	768
Dirly Dave Sompie	M	8	2	Indonesian Idol	0	0	"Solo, Movie, FTV"	7178
Ghea Oktarin	F	8	3	Indonesian Idol	0	0	Solo	0
Nobo Sasamu	M	8	4	Indonesian Idol	0	0	Solo	11
Maria Priscilla	F	8	5	Indonesian Idol	0	0	Solo	71
Ilham Basso	M	8	6	Indonesian Idol	0	0	No	0
Christy Claudia	F	8	7	Indonesian Idol	0	0	Solo	0
Cecilia Dwi Hapsari	F	8	8	Indonesian Idol	0	0	Solo	0
Brinet Sudjana	F	8	9	Indonesian Idol	0	0	No	0
Teza Sumendra	F	8	10	Indonesian Idol	0	0	Solo	25044
Lee Kulalean	M	8	11	Indonesian Idol	0	0	Solo	0
Elisabeth Dwi Purna	F	8	12	Indonesian Idol	0	0	No	0
Rinni Wulandari	F	9	1	Indonesian Idol	6	0	Solo	28072
Wilson Maiseka	M	9	2	Indonesian Idol	0	0	Solo	182
Gabriela Christy	F	9	3	Indonesian Idol	0	0	Solo	0
Sarah Hadju	F	9	4	Indonesian Idol	0	0	"Solo, Band Member"	14
Fandy Santoso	M	9	5	Indonesian Idol	0	0	"Solo, Band Member"	1949
Dimas Mochamad	M	9	6	Indonesian Idol	0	0	No	0
Julian Syahputra	M	9	7	Indonesian Idol	0	0	Solo	0
Priska Paramita	F	9	8	Indonesian Idol	0	0	No	0
Stevano Andrie	M	9	9	Indonesian Idol	0	0	No	0
Marsya Nada	F	9	10	Indonesian Idol	0	0	No	0
Gana Eka	F	9	11	Indonesian Idol	0	0	No	0
Rismawati	F	9	12	Indonesian Idol	0	0	No	0
Januarisman Runtuwene	M	10	1	Indonesian Idol	0	0	Solo	0
Gisella Anastasia	F	10	2	Indonesian Idol	0	0	"Solo, Movie, FTV, Commercial, Soap Opera"	123773
Patudu Syammayim	M	10	3	Indonesian Idol	0	0	Solo	10543
Kunto Aji	M	10	4	Indonesian Idol	3	1	"Solo, Movie"	264044
Dyna Fransisca	F	10	5	Indonesian Idol	0	0	No	0
Obet Habibu	M	10	6	Indonesian Idol	0	0	Solo	0
Andy Makaruwung	M	10	7	Indonesian Idol	0	0	No	0
Ibeth Estrya	F	10	8	Indonesian Idol	0	0	No	0
Dede Richo	M	10	9	Indonesian Idol	0	0	No	0
Thefanie Florina	F	10	10	Indonesian Idol	0	0	"Solo, Sitcom, TV Show Host, Video Clip"	0
Della Setia	F	10	11	Indonesian Idol	0	0	No	0
Safira Rizkika	F	10	12	Indonesian Idol	0	0	No	0
Igo Pentury	M	11	1	Indonesian Idol	0	0	Solo	1
Citra Scholastika	F	11	2	Indonesian Idol	15	4	Solo	68913
Gilang Saputra	M	11	3	Indonesian Idol	0	0	No	0
Ray Generies	M	11	4	Indonesian Idol	0	0	No	0
Tesa Novliana 	F	11	5	Indonesian Idol	0	0	No	0
Windra Elfi	F	11	6	Indonesian Idol	0	0	No	0
