name	gender	season	year	rank	competition	awards_nominated	awards_won	career	monthly_listener
Veri Affandi	M	1	2003	1	AFI	0	0	No	0
Petrus Kia Suban	M	1	2003	2	AFI	0	0	No	0
Mawar Dhimas Febra	F	1	2003	3	AFI	0	0	No	0
Ve Nazarina	F	1	2003	4	AFI	0	0	No	0
Rini Astuti	F	1	2003	5	AFI	0	0	No	0
Dicky Haryadi	M	1	2003	6	AFI	0	0	FTV	0
Romi Kartiko	M	1	2003	7	AFI	0	0	Solo	0
Melissa Wuwungan	F	1	2003	8	AFI	0	0	No	0
Ismail Rojali	M	1	2003	9	AFI	0	0	No	0
Yenny Rizkyanti	F	1	2003	10	AFI	0	0	No	0
Herawati	F	1	2003	11	AFI	0	0	No	0
Dewi Lastmi	M	1	2003	12	AFI	0	0	No	0
Theodora Meilani	F	2	2004	1	AFI	0	0	"Solo, FTV"	1355
Moch. Haykal	M	2	2004	2	AFI	0	0	No	0
Mickey Octapatika	M	2	2004	3	AFI	0	0	No	0
Nia Kartika Putri	F	2	2004	4	AFI	0	0	No	0
Cindy Sibarani	F	2	2004	5	AFI	0	0	"Solo, FTV"	13
Setya Adi Dharma	M	2	2004	6	AFI	0	0	No	0
Aditya Putra Widjaya	M	2	2004	7	AFI	0	0	Band Member	0
Pasha Dina Widjaya	F	2	2004	8	AFI	0	0	No	0
Febriane Nur Permata	F	2	2004	9	AFI	0	0	No	0
Ratna Yulia Nining	F	2	2004	10	AFI	0	0	No	0
Amalia Soraya	F	2	2004	11	AFI	0	0	FTV	0
Jovita Indah Puspitasari	F	2	2004	12	AFI	0	0	No	0
Putu Sutha Natawijaya	F	3	2004	1	AFI	0	0	No	0
Alvin Kurniawan	M	3	2004	2	AFI	0	0	No	0
Leo Mokodompit	M	3	2004	3	AFI	0	0	Solo	0
Eky Renata	F	3	2004	4	AFI	0	0	"Solo, FTV"	0
Dessy Febianti	F	3	2004	5	AFI	0	0	No	0
Randy Larry Heratta	M	3	2004	6	AFI	0	0	No	0
Adinda Intan Permatasari	F	3	2004	7	AFI	0	0	No	0
Lestari Utami	F	3	2004	8	AFI	0	0	No	0
